year,month,airport,city,passengers
2024,3,LGA,New York,1417450
2024,3,MCO,Orlando,2694666
2024,3,MDW,Chicago,891518
2024,3,ORD,Chicago,3111965
2024,3,SEA,Seattle,1941236
2024,4,ANC,Anchorage,176066
2024,4,BOS,Boston,1749629
2024,4,DEN,Denver,3231391
2024,4,EWR,New York,2043738
2024,4,JFK,New York,2522409
2024,4,LAX,Los Angeles,3019611
2024,4,LGA,New York,1382552
2024,4,MCO,Orlando,2444530
2024,4,MDW,Chicago,864550
2024,4,ORD,Chicago,3066129
2024,4,SEA,Seattle,1921251
2024,5,ANC,Anchorage,233423
2024,5,BOS,Boston,1918044
2024,5,DEN,Denver,3562863
2024,5,EWR,New York,2206929
2024,5,JFK,New York,2778776
2024,5,LAX,Los Angeles,3398747
2024,5,LGA,New York,1469239
2024,5,MCO,Orlando,2480313
2024,5,MDW,Chicago,962375
2024,5,ORD,Chicago,3513783
2024,5,SEA,Seattle,2206880
2024,6,ANC,Anchorage,306456
2024,6,BOS,Boston,1969017
2024,6,DEN,Denver,3692411
2024,6,EWR,New York,2182598
2024,6,JFK,New York,2929889
2024,6,LAX,Los Angeles,3573841
2024,6,LGA,New York,1455479
2024,6,MCO,Orlando,2380329
2024,6,MDW,Chicago,1063135
2024,6,ORD,Chicago,3616208
2024,6,SEA,Seattle,2472670
2024,7,ANC,Anchorage,367352
2024,7,BOS,Boston,2038593
2024,7,DEN,Denver,3852600
2024,7,EWR,New York,2288303
2024,7,JFK,New York,3056940
2024,7,LAX,Los Angeles,3613703
2024,7,LGA,New York,1551046
2024,7,MCO,Orlando,2398613
2024,7,MDW,Chicago,1121105
2024,7,ORD,Chicago,3663375
2024,7,SEA,Seattle,2656126
2024,8,ANC,Anchorage,360258
2024,8,BOS,Boston,2062262
2024,8,DEN,Denver,3606323
2024,8,EWR,New York,2163266
2024,8,JFK,New York,2972656
2024,8,LAX,Los Angeles,3452563
2024,8,LGA,New York,1477812
2024,8,MCO,Orlando,2210645
2024,8,MDW,Chicago,978285
2024,8,ORD,Chicago,3672873
2024,8,SEA,Seattle,2641110
2024,9,ANC,Anchorage,250717
2024,9,BOS,Boston,1811782
2024,9,DEN,Denver,3375954
2024,9,EWR,New York,1932004
2024,9,JFK,New York,2572484
2024,9,LAX,Los Angeles,3076341
2024,9,LGA,New York,1345300
2024,9,MCO,Orlando,1914131
2024,9,MDW,Chicago,912191
2024,9,ORD,Chicago,3415709
2024,9,SEA,Seattle,2300820
2024,10,ANC,Anchorage,192785
2024,10,BOS,Boston,1991427
2024,10,DEN,Denver,3483058
2024,10,EWR,New York,2068382
2024,10,JFK,New York,2691751
2024,10,LAX,Los Angeles,3219924
2024,10,LGA,New York,1472919
2024,10,MCO,Orlando,1987211
2024,10,MDW,Chicago,893758
2024,10,ORD,Chicago,3489562
2024,10,SEA,Seattle,2150632
2024,11,ANC,Anchorage,165899
2024,11,BOS,Boston,1668299
2024,11,DEN,Denver,3062682
2024,11,EWR,New York,1948983
2024,11,JFK,New York,2443440
2024,11,LAX,Los Angeles,3013788
2024,11,LGA,New York,1365107
2024,11,MCO,Orlando,2250537
2024,11,MDW,Chicago,763281
2024,11,ORD,Chicago,3019870
2024,11,SEA,Seattle,1881918
2024,12,ANC,Anchorage,180572
2024,12,BOS,Boston,1767981
2024,12,DEN,Denver,3318223
2024,12,EWR,New York,2176732
2024,12,JFK,New York,2782016
2024,12,LAX,Los Angeles,3290943
2024,12,LGA,New York,1455135
2024,12,MCO,Orlando,2448298
2024,12,MDW,Chicago,788668
2024,12,ORD,Chicago,3240632
2024,12,SEA,Seattle,2070366
2025,1,ANC,Anchorage,165510
2025,1,BOS,Boston,1352775
2025,1,DEN,Denver,2907286
2025,1,EWR,New York,1839601
2025,1,JFK,New York,2251307
2025,1,LAX,Los Angeles,2698719
2025,1,LGA,New York,1169933
2025,1,MCO,Orlando,2362436
2025,1,MDW,Chicago,570165
2025,1,ORD,Chicago,2617699
2025,1,SEA,Seattle,1735068
2025,2,ANC,Anchorage,151044
2025,2,BOS,Boston,1388396
2025,2,DEN,Denver,2733042
2025,2,EWR,New York,1678688
2025,2,JFK,New York,2029655
2025,2,LAX,Los Angeles,2467710
2025,2,LGA,New York,1084111
2025,2,MCO,Orlando,2196687
2025,2,MDW,Chicago,531701
2025,2,ORD,Chicago,2471498
2025,2,SEA,Seattle,1619125
2025,3,ANC,Anchorage,179105
2025,3,BOS,Boston,1693662
2025,3,DEN,Denver,3333652
2025,3,EWR,New York,1981964
2025,3,JFK,New York,2372345
2025,3,LAX,Los Angeles,3036732
2025,3,LGA,New York,1332180
2025,3,MCO,Orlando,2602212
2025,3,MDW,Chicago,766393
2025,3,ORD,Chicago,3234533
2025,3,SEA,Seattle,1935029
2025,4,ANC,Anchorage,166269
2025,4,BOS,Boston,1826618
2025,4,DEN,Denver,3045552
2025,4,EWR,New York,1933267
2025,4,JFK,New York,2552621
2025,4,LAX,Los Angeles,2991624
2025,4,LGA,New York,1372474
2025,4,MCO,Orlando,2404554
2025,4,MDW,Chicago,729118
2025,4,ORD,Chicago,3147242
2025,4,SEA,Seattle,1965292
2025,5,ANC,Anchorage,224152
2025,5,BOS,Boston,1881931
2025,5,DEN,Denver,3488051
2025,5,EWR,New York,1749212
2025,5,JFK,New York,2782357
2025,5,LAX,Los Angeles,3221889
2025,5,LGA,New York,1447559
2025,5,MCO,Orlando,2399688
2025,5,MDW,Chicago,798236
2025,5,ORD,Chicago,3700316
2025,5,SEA,Seattle,2213977
2025,6,ANC,Anchorage,309778
2025,6,BOS,Boston,1948188
2025,6,DEN,Denver,3715984
2025,6,EWR,New York,1937158
2025,6,JFK,New York,2891482
2025,6,LAX,Los Angeles,3537084
2025,6,LGA,New York,1403880
2025,6,MCO,Orlando,2355899
2025,6,MDW,Chicago,981354
2025,6,ORD,Chicago,3957028
2025,6,SEA,Seattle,2487771
2025,7,ANC,Anchorage,371245
2025,7,BOS,Boston,2026031
2025,7,DEN,Denver,3904118
2025,7,EWR,New York,2178844
2025,7,JFK,New York,3039999
2025,7,LAX,Los Angeles,3533343
2025,7,LGA,New York,1459815
2025,7,MCO,Orlando,2429337
2025,7,MDW,Chicago,999003
2025,7,ORD,Chicago,3992152
2025,7,SEA,Seattle,2678046
2025,8,ANC,Anchorage,360793
2025,8,BOS,Boston,2004088
2025,8,DEN,Denver,3655202
2025,8,EWR,New York,2227949
2025,8,JFK,New York,3007193
2025,8,LAX,Los Angeles,3300021
2025,8,LGA,New York,1495162
2025,8,MCO,Orlando,2312688
2025,8,MDW,Chicago,917067
2025,8,ORD,Chicago,3856558
2025,8,SEA,Seattle,2644693
2025,9,ANC,Anchorage,245384
2025,9,BOS,Boston,1741174
2025,9,DEN,Denver,3432749
2025,9,EWR,New York,1902599
2025,9,JFK,New York,2475524
2025,9,LAX,Los Angeles,2875336
2025,9,LGA,New York,1338515
2025,9,MCO,Orlando,1949032
2025,9,MDW,Chicago,859963
2025,9,ORD,Chicago,3618306
2025,9,SEA,Seattle,2214209
2025,10,ANC,Anchorage,192275
2025,10,BOS,Boston,1944286
2025,10,DEN,Denver,3587810
2025,10,EWR,New York,2055516
2025,10,JFK,New York,2588668
